Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry
BWMX,"Betterware de Mexico, S.A.B de C.V.",28.31,985280743.56,n/a,n/a,Consumer Services,Catalog/Specialty Distribution
XAIR,"Beyond Air, Inc.",5.34,92615683.74,n/a,n/a,Health Care,Medical/Dental Instruments
BYND,"Beyond Meat, Inc.",139.9,8765526694.1,n/a,2019,Consumer Non-Durables,Packaged Foods
BYSI,"BeyondSpring, Inc.",11.18,340911974.78,n/a,2017,Health Care,Major Pharmaceuticals
BGSF,BG Staffing Inc,12.75,131541979.5,n/a,n/a,Technology,Professional Services
BGCP,"BGC Partners, Inc.",4.14,1501142645.88,n/a,n/a,Finance,Investment Bankers/Brokers/Service
BHP,BHP Group Limited,55.79,141090767385.05,n/a,n/a,Basic Industries,Precious Metals
BBL,BHP Group Plc,45.46,114961294336.44,n/a,n/a,Energy,Coal Mining
BCYC,Bicycle Therapeutics plc,21.36,177004745.04,8286739,2019,Health Care,Major Pharmaceuticals
BGFV,Big 5 Sporting Goods Corporation,9.53,208770546.04,n/a,2002,Consumer Services,Other Specialty Stores
BIG,"Big Lots, Inc.",51.67,2028411205.13,n/a,n/a,Consumer Services,Department/Specialty Retail Stores
BRPA,Big Rock Partners Acquisition Corp.,10.87,29221190.54,n/a,2017,Finance,Business Services
BRPAR,Big Rock Partners Acquisition Corp.,0.2501,0,n/a,2017,Finance,Business Services
BRPAU,Big Rock Partners Acquisition Corp.,10.2,0,n/a,2017,Finance,Business Services
BRPAW,Big Rock Partners Acquisition Corp.,0.346,0,n/a,2017,Finance,Business Services
BIGC,"BigCommerce Holdings, Inc.",80.66,5469291729.06,n/a,2020,Technology,Computer Software: Prepackaged Software
BH,Biglari Holdings Inc.,112,347531520,n/a,2018,Consumer Services,Restaurants
BH.A,Biglari Holdings Inc.,n/a,0,n/a,n/a,n/a,n/a
BILI,Bilibili Inc.,62.86,10760130463.18,171176113,2018,Technology,EDP Services
BILL,"Bill.com Holdings, Inc.",122.71,9959718864.48,n/a,2019,Technology,Computer Software: Prepackaged Software
BASI,"Bioanalytical Systems, Inc.",6.58,72308054.28,n/a,1997,Health Care,Biotechnology: Commercial Physical & Biological Resarch
BCDA,"BioCardia, Inc.",2.35,29207665.9,n/a,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
BCDAW,"BioCardia, Inc.",1.35,0,n/a,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
BIOC,"Biocept, Inc.",4.62,61892975.76,n/a,2014,Health Care,Medical Specialities
BIOX,Bioceres Crop Solutions Corp.,6.1,245987544.7,n/a,2018,Basic Industries,Agricultural Chemicals
BCRX,"BioCryst Pharmaceuticals, Inc.",5.11,902250328.42,n/a,1994,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
BDSI,"BioDelivery Sciences International, Inc.",3.8,384221689.8,n/a,n/a,Health Care,Major Pharmaceuticals
BDSX,"Biodesix, Inc.",17.94,470998051.68,n/a,2020,Health Care,Medical Specialities
BFRA,Biofrontera AG,7.13,379772.32,53264,2018,Health Care,Major Pharmaceuticals
BIIB,Biogen Inc.,240.17,36957743151.49,n/a,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
BHVN,Biohaven Pharmaceutical Holding Company Ltd.,88.95,5331588815.7,n/a,2017,Health Care,Major Pharmaceuticals
BHTG,"BioHiTech Global, Inc.",1.45,33863488.5,n/a,n/a,Consumer Services,Other Consumer Services
BKYI,"BIO-key International, Inc.",3.47,27022625,n/a,n/a,Technology,Computer Communications Equipment
BIOL,"Biolase, Inc.",0.3009,27987971.2755,n/a,n/a,Health Care,Medical/Dental Instruments
BLFS,"BioLife Solutions, Inc.",35.99,1178165472.88,n/a,n/a,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
BLRX,BioLineRx Ltd.,2.29,39850852.51,17402119,n/a,Health Care,Major Pharmaceuticals
BMRN,BioMarin Pharmaceutical Inc.,78.7,14286384792.9,n/a,1999,Health Care,Major Pharmaceuticals
BMRA,"Biomerica, Inc.",6.95,81680493.55,n/a,n/a,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
PHGE,BiomX Inc.,6.2,143703116.4,n/a,2019,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
PHGE.U,BiomX Inc.,n/a,0,n/a,2018,n/a,n/a
PHGE.WS,BiomX Inc.,n/a,0,n/a,n/a,n/a,n/a
BNGO,"Bionano Genomics, Inc.",0.49,75061140,n/a,2018,Capital Goods,Biotechnology: Laboratory Analytical Instruments
BNGOW,"Bionano Genomics, Inc.",0.1499,0,n/a,2018,Capital Goods,Biotechnology: Laboratory Analytical Instruments
BVXV,BiondVax Pharmaceuticals Ltd.,3.26,37558316.56,11520956,2015,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
BNTX,BioNTech SE,124.24,6597534486.32,53103143,2019,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
BPTH,"Bio-Path Holdings, Inc.",3.54,16078173.78,n/a,n/a,Health Care,Major Pharmaceuticals
BIO,"Bio-Rad Laboratories, Inc.",538.5,16063726404,n/a,n/a,Capital Goods,Biotechnology: Laboratory Analytical Instruments
BIO.B,"Bio-Rad Laboratories, Inc.",n/a,0,n/a,n/a,n/a,n/a
BSGM,"BioSig Technologies, Inc.",4.6,139144079.8,n/a,n/a,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
BSTC,BioSpecifics Technologies Corp,88.4,649294022,n/a,n/a,Health Care,Major Pharmaceuticals
TECH,Bio-Techne Corp,303.31,11710588906.17,n/a,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
BEAT,"BioTelemetry, Inc.",55.41,1898390872.59,n/a,2008,Health Care,Medical Specialities
BIVI,BioVie Inc.,9.65,134290982.6,n/a,n/a,Health Care,Major Pharmaceuticals
BTAI,"BioXcel Therapeutics, Inc.",44,1072207708,n/a,2018,Health Care,Major Pharmaceuticals
BGI,Birks Group Inc.,0.8687,15611304.3247,n/a,n/a,Consumer Services,Consumer Specialties
BTBT,"Bit Digital, Inc.",8.07,352652422.95,n/a,2018,Finance,Finance: Consumer Services
BJRI,"BJ&#39;s Restaurants, Inc.",33.03,737124234.3,n/a,n/a,Consumer Services,Restaurants
BJ,"BJ&#39;s Wholesale Club Holdings, Inc.",40.99,5627124005.9,n/a,2018,Consumer Services,Department/Specialty Retail Stores
BKTI,BK Technologies Corporation,3.05,38161496.3,n/a,n/a,Technology,Radio And Television Broadcasting And Communications Equipment
BDTX,"Black Diamond Therapeutics, Inc.",33.34,1200095304.4,n/a,2020,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
BKH,Black Hills Corporation,60.83,3816881274.36,n/a,n/a,Public Utilities,Electric Utilities: Central
BKI,"Black Knight, Inc.",91.62,14387025473.82,n/a,2017,Technology,Computer Software: Prepackaged Software
BSM,"Black Stone Minerals, L.P.",7.02,1451377200.78,n/a,2015,Energy,Oil & Gas Production
BLKB,"Blackbaud, Inc.",55.09,2730721172.76,n/a,2004,Technology,Computer Software: Prepackaged Software
BB,BlackBerry Limited,5.87,3266733417.33,n/a,n/a,Technology,Computer Software: Prepackaged Software
BL,"BlackLine, Inc.",122.9,7036636058.8,n/a,2016,Technology,Computer Software: Prepackaged Software
BGIO,BlackRock 2022 Global Income Opportunity Trust,8.82,195338939.04,n/a,2017,n/a,n/a
BFZ,BlackRock California Municipal Income Trust,13.83,436347328.89,n/a,2001,n/a,n/a
BCAT,BlackRock Capital Allocation Trust,21.25,2125000000,n/a,2020,n/a,n/a
CII,Blackrock Capital and Income Strategies Fund Inc,16.99,749622586,n/a,2004,n/a,n/a
BKCC,BlackRock Capital Investment Corporation,2.95,213318936.8,n/a,2007,n/a,n/a
BHK,Blackrock Core Bond Trust,16.4,884536066.4,n/a,2001,n/a,n/a
HYT,"Blackrock Corporate High Yield Fund, Inc.",11.55,1407991846.8,n/a,2003,n/a,n/a
BTZ,BlackRock Credit Allocation Income Trust,14.85,1388163135.15,n/a,2006,n/a,n/a
DSU,"Blackrock Debt Strategies Fund, Inc.",10.34,483738742.96,n/a,1998,n/a,n/a
BGR,BlackRock Energy and Resources Trust,7.06,210566801.56,n/a,2004,n/a,n/a
BDJ,Blackrock Enhanced Equity Dividend Trust,8.2,1537847721,n/a,2005,n/a,n/a
EGF,"Blackrock Enhanced Government Fund, Inc",13.15,62265079.05,n/a,2005,n/a,n/a
FRA,Blackrock Floating Rate Income Strategies Fund Inc,12.05,429958833.55,n/a,2003,n/a,n/a
BFO,Blackrock Florida Municipal 2020 Term Trust,14.78,78401781.08,n/a,2003,n/a,n/a
BGT,Blackrock Global,11.89,268728303.67,n/a,2004,n/a,n/a
BOE,Blackrock Global,10.58,687508724.18,n/a,2005,n/a,n/a
BME,Blackrock Health Sciences Trust,46.1977,532040339.4246,n/a,2005,n/a,n/a
BMEZ,BlackRock Health Sciences Trust II,27.35,0,n/a,2020,n/a,n/a
BAF,BlackRock Income Investment Quality Trust,14.89,130278834.02,n/a,2002,n/a,n/a
BKT,BlackRock Income Trust Inc. (The),6.12,390438325.44,n/a,n/a,n/a,n/a
BGY,"BLACKROCK INTERNATIONAL, LTD.",5.71,599347420.62,n/a,2007,n/a,n/a
BKN,BlackRock Investment Quality Municipal Trust Inc. (The),17.25,296456067.75,n/a,1993,n/a,n/a
BTA,BlackRock Long-Term Municipal Advantage Trust,12.67,170107762.09,n/a,2006,n/a,n/a
BZM,BlackRock Maryland Municipal Bond Trust,15.772,32842745.34,n/a,2002,n/a,n/a
MHE,BlackRock Massachusetts Tax-Exempt Trust,13.61,32269623.03,n/a,1993,n/a,n/a
BIT,BlackRock Multi-Sector Income Trust,16.94,635886876.24,n/a,2013,n/a,n/a
MUI,Blackrock Muni Intermediate Duration Fund Inc,14.52,556061782.32,n/a,2003,n/a,n/a
MUA,"Blackrock MuniAssets Fund, Inc.",14.63,528300828.44,n/a,1993,n/a,n/a
BKK,Blackrock Municipal 2020 Term Trust,15.06,304763617.68,n/a,2003,n/a,n/a
BBK,Blackrock Municipal Bond Trust,16.1,169419607.7,n/a,2002,n/a,n/a
BBF,BlackRock Municipal Income Investment Trust,13.29,135988263.75,n/a,n/a,n/a,n/a
BYM,Blackrock Municipal Income Quality Trust,14.63,386323773.99,n/a,2002,n/a,n/a
BFK,BlackRock Municipal Income Trust,14.84,665297085.6,n/a,n/a,n/a,n/a
BLE,BlackRock Municipal Income Trust II,15.35,361615791.2,n/a,2002,n/a,n/a
BTT,BlackRock Municipal Target Term Trust Inc. (The),25.13,1771804999.23,n/a,2012,n/a,n/a
MEN,"Blackrock MuniEnhanced Fund, Inc.",11.95,354693638.2,n/a,1989,n/a,n/a
MUC,"Blackrock MuniHoldings California Quality Fund,  Inc.",14.6,598636251.8,n/a,1998,n/a,n/a
MUH,"Blackrock MuniHoldings Fund II, Inc.",15.14,171631309.48,n/a,1998,n/a,n/a
MHD,"Blackrock MuniHoldings Fund, Inc.",15.84,225081996.48,n/a,1997,n/a,n/a
MFL,Blackrock MuniHoldings Investment Quality Fund,13.99,530167949.92,n/a,1997,n/a,n/a
MUJ,"Blackrock MuniHoldings New Jersey Insured Fund, Inc.",14.22,427839543.18,n/a,1998,n/a,n/a
MHN,"Blackrock MuniHoldings New York Quality Fund, Inc.",13.87,431801159.01,n/a,1997,n/a,n/a
MUE,"Blackrock MuniHoldings Quality Fund II, Inc.",13.19,297048811.21,n/a,n/a,n/a,n/a
MUS,"Blackrock MuniHoldings Quality Fund, Inc.",13.23,172231791.48,n/a,1998,n/a,n/a
MVT,"Blackrock MuniVest Fund II, Inc.",15,320098125,n/a,1993,n/a,n/a
MYC,"Blackrock MuniYield California Fund, Inc.",14.39,308226518.66,n/a,1992,n/a,n/a
MCA,"Blackrock MuniYield California Insured Fund, Inc.",14.77,508172440.09,n/a,1992,n/a,n/a
MYD,"Blackrock MuniYield Fund, Inc.",14.19,665790472.05,n/a,1991,n/a,n/a
MYF,Blackrock MuniYield Investment Fund,13.98,191721048.96,n/a,1992,n/a,n/a
MFT,Blackrock MuniYield Investment QualityFund,14.12,119719512.28,n/a,1992,n/a,n/a
MIY,"Blackrock MuniYield Michigan Quality Fund, Inc.",14.29,421691255.15,n/a,1992,n/a,n/a
MYJ,"Blackrock MuniYield New Jersey Fund, Inc.",14.14,341595604.7,n/a,1992,n/a,n/a
MYN,"Blackrock MuniYield New York Quality Fund, Inc.",13.09,518188384.56,n/a,1992,n/a,n/a
MPA,Blackrock MuniYield Pennsylvania Quality Fund,14.5,192968247.5,n/a,1992,n/a,n/a
MQT,"Blackrock MuniYield Quality Fund II, Inc.",13.64,307691242.76,n/a,1992,n/a,n/a
MYI,"Blackrock MuniYield Quality Fund III, Inc.",13.93,949338986.33,n/a,n/a,n/a,n/a
MQY,"Blackrock MuniYield Quality Fund, Inc.",16.71,513427917.48,n/a,1992,n/a,n/a
BNY,BlackRock New York Investment Quality Municipal Trust Inc. (Th,14.2037,184308262.2738,n/a,n/a,n/a,n/a
BSE,Blackrock New York Municipal Income Quality Trust,13.6102,88733876.532,n/a,2002,n/a,n/a
BFY,BlackRock New York Municipal Income Trust II,14.16,70869695.52,n/a,2002,n/a,n/a
BCX,BlackRock Resources,6.73,606206869.95,n/a,2011,n/a,n/a
BST,BlackRock Science and Technology Trust,49.17,1188298027.95,n/a,2014,n/a,n/a
BSTZ,BlackRock Science and Technology Trust II,32.82,2562912552.84,n/a,2019,n/a,n/a
BSD,BlackRock Strategic Municipal Trust Inc. (The),14.09,102972157.57,n/a,1999,n/a,n/a
TCPC,BlackRock TCP Capital Corp.,11.85,684542078.4,n/a,2012,n/a,n/a
BUI,"BlackRock Utility, Infrastructure & Power Opportun",24.13,428095011.22,n/a,2011,n/a,n/a
BHV,BlackRock Virginia Municipal Bond Trust,16.93,27225319.23,n/a,2002,n/a,n/a
BLK,"BlackRock, Inc.",698.35,106505852233.45,n/a,1999,Finance,Investment Bankers/Brokers/Service
BGB,Blackstone / GSO Strategic Credit Fund,12.39,553391692.98,n/a,2012,n/a,n/a
BGX,Blackstone GSO Long Short Credit Income Fund,13.21,167869998.37,n/a,2011,n/a,n/a
BSL,Blackstone GSO Senior Floating Rate Term Fund,14.15,207484831.85,n/a,2010,n/a,n/a
BLNK,Blink Charging Co.,25.25,815351461.75,n/a,n/a,Consumer Durables,Electrical Products
BLNKW,Blink Charging Co.,20.87,0,n/a,n/a,Consumer Durables,Electrical Products
BDR,"Blonder Tongue Laboratories, Inc.",1.14,11542705.2,n/a,n/a,Technology,Radio And Television Broadcasting And Communications Equipment
BE,Bloom Energy Corporation,24.52,4075184277.6,n/a,2018,Energy,Industrial Machinery/Components
BLMN,"Bloomin&#39; Brands, Inc.",17.5,1532554012.5,n/a,2012,Consumer Services,Restaurants
BCOR,"Blucora, Inc.",13.04,626490147.92,n/a,n/a,Finance,Finance: Consumer Services
APRN,"Blue Apron Holdings, Inc.",7.67,135650132.02,n/a,2017,Consumer Services,Catalog/Specialty Distribution
BLBD,Blue Bird Corporation,16.41,443864309.64,n/a,2014,Capital Goods,Construction/Ag Equipment/Trucks
BHAT,Blue Hat Interactive Entertainment Technology,0.8823,31005004.8822,n/a,2019,Consumer Non-Durables,Recreational Products/Toys
BRBS,"Blue Ridge Bankshares, Inc.",14.81,84692777.01,n/a,n/a,Finance,Major Banks
BLUE,"bluebird bio, Inc.",44.09,2926399678.8,n/a,2013,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
BLCT,BlueCity Holdings Limited,13.79,73087000,5300000,2020,Technology,EDP Services
BXG,Bluegreen Vacations Corporation,6.36,461000103.48,n/a,2017,Finance,Real Estate
BVH,Bluegreen Vacations Holding Corporation,12.71,245527801.77,n/a,2017,Finance,Real Estate
BKEP,"Blueknight Energy Partners L.P., L.L.C.",1.69,69624768.72,n/a,2011,Energy,Natural Gas Distribution
BKEPP,"Blueknight Energy Partners L.P., L.L.C.",6.08,0,n/a,n/a,Energy,Natural Gas Distribution
BXC,BlueLinx Holdings Inc.,26.1,246946194,n/a,2004,Capital Goods,Wholesale Distributors
BPMC,Blueprint Medicines Corporation,108.08,6023385296.32,n/a,2015,Health Care,Major Pharmaceuticals
BRG,"Bluerock Residential Growth REIT, Inc.",10.2,243246366.6,n/a,2014,Consumer Services,Real Estate Investment Trusts
BRG^A,"Bluerock Residential Growth REIT, Inc.",25.57,0,n/a,n/a,n/a,n/a
BRG^C,"Bluerock Residential Growth REIT, Inc.",25.5417,0,n/a,n/a,n/a,n/a
BRG^D,"Bluerock Residential Growth REIT, Inc.",25.365,0,n/a,n/a,n/a,n/a
BOAC.U,Bluescape Opportunities Acquisition Corp.,n/a,0,n/a,2020,n/a,n/a
ITEQ,BlueStar Israel Technology ETF,61.55,0,n/a,n/a,n/a,n/a
BMCH,"BMC Stock Holdings, Inc.",48.94,3292875534.2,n/a,2013,Consumer Services,RETAIL: Building Materials
DCF,BNY Mellon Alcentra Global Credit Income 2024 Target Term Fund,8.39,125540677.48,n/a,2017,n/a,n/a
DHF,BNY Mellon High Yield Strategies Fund,3.01,218850140.88,n/a,1998,n/a,n/a
DMB,"BNY Mellon Municipal Bond Infrastructure Fund, Inc",13.89,255403388.97,n/a,2013,n/a,n/a
DMF,BNY Mellon Municipal Income Inc.,8.71,180739450.58,n/a,1988,n/a,n/a
DSM,"BNY Mellon Strategic Municipal Bond Fund, Inc.",7.66,378568774.26,n/a,1989,n/a,n/a
LEO,"BNY Mellon Strategic Municipals, Inc.",8.42,523806196.04,n/a,1987,n/a,n/a
BA,Boeing Company (The),210.71,118952050137.06,n/a,n/a,Capital Goods,Aerospace
BSBK,Bogota Financial Corp.,8.75,115128343.75,n/a,2020,Finance,Banks
WIFI,"Boingo Wireless, Inc.",14.15,630112008.6,n/a,2011,Consumer Services,Telecommunications Equipment
BCC,"Boise Cascade, L.L.C.",43.25,1695453024.5,n/a,2013,Consumer Services,RETAIL: Building Materials
BOKF,BOK Financial Corporation,66.95,4706975519.35,n/a,n/a,Finance,Major Banks
BOKFL,BOK Financial Corporation,25.93,0,n/a,n/a,Finance,Major Banks
BCEI,"Bonanza Creek Energy, Inc.",22.07,459815803.89,n/a,2017,Energy,Oil & Gas Production
BNSO,"Bonso Electronics International, Inc.",4.37,21382947.51,n/a,n/a,Capital Goods,Industrial Machinery/Components
BKNG,Booking Holdings Inc.,2028.45,83074991246.4,n/a,n/a,Consumer Services,Transportation Services
BOOT,"Boot Barn Holdings, Inc.",41.26,1191048335.26,n/a,2014,Consumer Services,Clothing/Shoe/Accessory Stores
BAH,Booz Allen Hamilton Holding Corporation,86.79,11968354018.5,n/a,2010,Consumer Services,Professional Services
BIMI,BOQI International Medical Inc.,1.9,22194853.8,n/a,n/a,Capital Goods,Metal Fabrications
BQ,Boqii Holding Limited,6.62,600784952.68,n/a,2020,Consumer Services,Other Specialty Stores
BWA,BorgWarner Inc.,38.85,9499550174.1,n/a,n/a,Capital Goods,Auto Parts:O.E.M.
BRQS,"Borqs Technologies, Inc. ",1.09,48116043.31,n/a,2015,Technology,EDP Services
BORR,Borr Drilling Limited,0.7572,158148027.228,n/a,2019,Energy,Oil & Gas Production
SAM,"Boston Beer Company, Inc. (The)",930.84,11395909230.72,n/a,n/a,Consumer Non-Durables,Beverages (Production/Distribution)
BOMN,Boston Omaha Corporation,23.18,631217245.7,n/a,n/a,Finance,Real Estate
BPFH,"Boston Private Financial Holdings, Inc.",7.16,588942893.04,n/a,n/a,Finance,Major Banks
BXP,"Boston Properties, Inc.",98.16,15279540348.24,n/a,1997,Consumer Services,Real Estate Investment Trusts
BXP^B,"Boston Properties, Inc.",25.58,0,n/a,n/a,n/a,n/a
BSX,Boston Scientific Corporation,33.15,47468196365.85,n/a,n/a,Health Care,Medical/Dental Instruments
BSX^A,Boston Scientific Corporation,101.82,0,n/a,n/a,n/a,n/a
EPAY,"Bottomline Technologies, Inc.",45.64,2058984338.88,n/a,1999,Technology,Computer Software: Prepackaged Software
BWL.A,"Bowl America, Inc.",n/a,0,n/a,n/a,n/a,n/a
BOWX,BowX Acquisition Corp.,10.15,612806250,n/a,2020,Finance,Business Services
BOWXU,BowX Acquisition Corp.,10.31,0,n/a,2020,Finance,Business Services
BOWXW,BowX Acquisition Corp.,1.3,0,n/a,2020,Finance,Business Services
BOX,"Box, Inc.",18.69,2925822050.34,n/a,2015,Technology,Computer Software: Prepackaged Software
BOXL,Boxlight Corporation,1.53,78283641.87,n/a,2017,Consumer Services,Other Consumer Services
BYD,Boyd Gaming Corporation,38.49,4293178564.47,n/a,1993,Consumer Services,Hotels/Resorts
BPMP,BP Midstream Partners LP,11.34,1188188212.68,n/a,2017,Energy,Natural Gas Distribution
BP,BP p.l.c.,19.56,66072406565.76,n/a,n/a,Energy,Integrated oil Companies
BPT,BP Prudhoe Bay Royalty Trust,2.17,46438000,n/a,n/a,Energy,Integrated oil Companies
BRC,Brady Corporation,44.18,2297988593.04,n/a,n/a,Consumer Durables,Miscellaneous manufacturing industries
BBRX,"Braeburn Pharmaceuticals, Inc.",n/a,0,n/a,n/a,n/a,n/a
BHR,Braemar Hotels & Resorts Inc.,4.09,150048721.61,n/a,2013,Consumer Services,Real Estate Investment Trusts
BHR^B,Braemar Hotels & Resorts Inc.,16.2,0,n/a,n/a,n/a,n/a
BHR^D,Braemar Hotels & Resorts Inc.,20.1,0,n/a,n/a,n/a,n/a
BCLI,Brainstorm Cell Therapeutics Inc.,5.525,174410945.8,n/a,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
BWAY,Brainsway Ltd.,6.47,18614351.75,2877025,2019,Health Care,Medical/Dental Instruments
BDN,Brandywine Realty Trust,11.13,1898477089.32,n/a,n/a,Consumer Services,Real Estate Investment Trusts
BWG,BrandywineGLOBAL Global Income Opportunities Fund ,11.91,249988458.45,n/a,2012,n/a,n/a
LND,Brasilagro Cia Brasileira De Propriedades Agricolas,5.12,303016576,n/a,n/a,Consumer Non-Durables,Farming/Seeds/Milling
BAK,Braskem S.A.,8.42,3350080387.6,n/a,n/a,Basic Industries,Major Chemicals
BREZU,Breeze Holdings Acquisition Corp.,10.1,0,n/a,2020,Finance,Business Services
BRFS,BRF S.A.,4.11,3319676435.82,n/a,n/a,Consumer Non-Durables,Meat/Poultry/Fish
BCTX,BriaCell Therapeutics Corp.,n/a,0,n/a,n/a,n/a,n/a
BBI,"Brickell Biotech, Inc.",0.68,36390523.68,n/a,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
BDGE,"Bridge Bancorp, Inc.",22.32,441036749.52,n/a,n/a,Finance,Major Banks
BBIO,"BridgeBio Pharma, Inc.",50.24,6157827171.84,n/a,2019,Health Care,Major Pharmaceuticals
BLIN          ,"Bridgeline Digital, Inc.",2.69,11890257.3,n/a,n/a,Technology,Computer Software: Prepackaged Software
BTWNU,Bridgetown Holdings Limited,10.4,0,n/a,2020,Finance,Business Services
BWB,"Bridgewater Bancshares, Inc.",11.77,332876091.57,n/a,2018,Finance,Major Banks
BRID,Bridgford Foods Corporation,18.65,169282916.8,n/a,n/a,Consumer Non-Durables,Specialty Foods
MNRL,"Brigham Minerals, Inc.",10.42,588558591,n/a,2019,Energy,Oil & Gas Production
BFAM,Bright Horizons Family Solutions Inc.,170.11,10302595114.32,n/a,2013,Miscellaneous,Other Consumer Services
BEDU,Bright Scholar Education Holdings Limited,6.46,778747418.56,n/a,2017,Consumer Services,Other Consumer Services
BCOV,Brightcove Inc.,16.7,664754221.4,n/a,2012,Technology,EDP Services
BHF,"Brighthouse Financial, Inc.",35.1,3141601772.4,n/a,n/a,Finance,Life Insurance
BHFAL,"Brighthouse Financial, Inc.",26.77,0,n/a,n/a,Finance,Life Insurance
BHFAN,"Brighthouse Financial, Inc.",26.01,0,n/a,n/a,Finance,Life Insurance
BHFAO,"Brighthouse Financial, Inc.",27.32,0,n/a,n/a,Finance,Life Insurance
BHFAP,"Brighthouse Financial, Inc.",27.88,0,n/a,n/a,Finance,Life Insurance
BSA,BrightSphere Investment Group Inc.,25.21,0,n/a,2016,Finance,Investment Managers
BSIG,BrightSphere Investment Group Inc.,17.7,1413969579.9,n/a,2014,Finance,Investment Managers
BV,"BrightView Holdings, Inc.",13.64,1430646199.4,n/a,2018,Consumer Non-Durables,Farming/Seeds/Milling
BRLI,Brilliant Acquisition Corporation,9.83,60071130,n/a,2020,Finance,Business Services
BRLIR,Brilliant Acquisition Corporation,0.26,0,n/a,2020,Finance,Business Services
BRLIU,Brilliant Acquisition Corporation,10.5,0,n/a,2020,Finance,Business Services
BRLIW,Brilliant Acquisition Corporation,0.46,0,n/a,2020,Finance,Business Services
EAT,"Brinker International, Inc.",50.11,2269454088.95,n/a,n/a,Consumer Services,Restaurants
BCO,Brink&#39;s Company (The),67.1,3316960674.5,n/a,n/a,Transportation,Oil Refining/Marketing
BMY,Bristol-Myers Squibb Company,62.4,141008494723.2,n/a,n/a,Health Care,Major Pharmaceuticals
BMY~,Bristol-Myers Squibb Company,1.18,0,n/a,n/a,n/a,n/a
VTOL,"Bristow Group, Inc.",22.25,661065500.25,n/a,n/a,Transportation,Transportation Services
BTI,British American Tobacco p.l.c.,35.31,81009661715.4,n/a,n/a,Consumer Non-Durables,Farming/Seeds/Milling
BRX,Brixmor Property Group Inc.,15.27,4527283361.97,n/a,2013,Consumer Services,Real Estate Investment Trusts
AVGO,Broadcom Inc.,401.58,162439644502.98,n/a,2009,Technology,Semiconductors
AVGOP,Broadcom Inc.,1330.71,0,n/a,n/a,Technology,Semiconductors
BRMK,Broadmark Realty Capital Inc.,10.15,1342198516.05,n/a,2019,Consumer Services,Real Estate Investment Trusts
BRMK.WS,Broadmark Realty Capital Inc.,n/a,0,n/a,n/a,n/a,n/a
BR,"Broadridge Financial Solutions, Inc.",146.88,16982189075.52,n/a,n/a,Miscellaneous,Business Services
BSN,Broadstone Acquisition Corp.,9.745,0,n/a,2020,Finance,Business Services
BSN.U,Broadstone Acquisition Corp.,n/a,0,n/a,2020,n/a,n/a
BSN.WS,Broadstone Acquisition Corp.,n/a,0,n/a,n/a,n/a,n/a
BNL,"Broadstone Net Lease, Inc.",17.63,2552585148.76,n/a,2020,Consumer Services,Real Estate Investment Trusts
BYFC,Broadway Financial Corporation,1.72,48225624.88,n/a,n/a,Finance,Savings Institutions
BWEN,"Broadwind, Inc.",4.66,78929034.26,n/a,n/a,Capital Goods,Metal Fabrications
BROG,Brooge Energy Limited ,8.625,945195240.75,n/a,2018,Energy,Integrated oil Companies
BROGW,Brooge Energy Limited ,0.5,0,n/a,2018,Energy,Integrated oil Companies
BKD,Brookdale Senior Living Inc.,4.24,777551870,n/a,2005,Health Care,Hospital/Nursing Management
BAM,Brookfield Asset Management Inc,40.49,61125150059.86,n/a,n/a,Consumer Services,Building operators
BBU,Brookfield Business Partners L.P.,35.78,2859295333.62,n/a,2016,Basic Industries,Engineering & Construction
DTLA^,Brookfield DTLA Inc.,14.25,0,n/a,n/a,n/a,n/a
BAMH,Brookfield Finance Inc.,25.36,0,n/a,2020,Consumer Services,Building operators
BAMI,Brookfield Finance Inc.,25.06,0,n/a,2020,Consumer Services,Building operators
BIPC,Brookfield Infrastructure Corporation,66.65,2997323215.15,n/a,2020,Public Utilities,Oil & Gas Production
BIP,Brookfield Infrastructure Partners LP,49.81,14711849920.84,n/a,n/a,Consumer Services,Marine Transportation
BIP^A,Brookfield Infrastructure Partners LP,25.58,0,n/a,n/a,n/a,n/a
BPY,Brookfield Property Partners L.P.,15.27,14185647019.59,n/a,n/a,Finance,Real Estate
BPYPN,Brookfield Property Partners L.P.,22.54,0,n/a,n/a,Finance,Real Estate
BPYPO,Brookfield Property Partners L.P.,24.16,0,n/a,n/a,Finance,Real Estate
